名称,営業日,住所,アクセス
"一軒め酒場 西武新宿駅前店","月～日、祝日、祝前日: 00:00～翌0:00",東京都新宿区歌舞伎町１－２４－３,西武新宿線　西武新宿駅　正面口　徒歩2分
"新宿 又吉","月～日、祝日、祝前日: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）",東京都新宿区西新宿１-8-5-5F,新宿駅西口より徒歩1分新宿駅から278m　【毎日24時まで営業中！酒類も終日提供中！】
"WILD BEACH shinjuku TOKYO SKY RESORT","金～日、祝日: 11:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）","東京都新宿区新宿３-38番1号 ルミネエスト","新宿駅東口改札北側エレベーター屋上直結 　ルミネエスト屋上"
"歌広場 西武新宿駅前店","月～日、祝日、祝前日: 11:00～翌5:00","東京都新宿区歌舞伎町１-24-2 メトロプラザ・6　 7階",都営地下鉄三田駅Ａ3出口を出て桜田通り右手。都営地下鉄三田駅より徒歩3分。
"台湾料理 皇品","月～土、祝日、祝前日: 17:00～翌3:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:00）","東京都新宿区歌舞伎町２-22-13 アドビル 1階E室",西武新宿駅北口徒歩5分
"ラーメン 小次郎 歌舞伎町店","月～日、祝日、祝前日: 11:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）",東京都新宿区歌舞伎町２-37-5　日新ビル1階,JR新宿駅東口徒歩8分／西武新宿駅徒歩1分
"Miami Patio マイアミ パティオ 小田急エース店","月～日、祝日、祝前日: 10:00～14:5915:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）","東京都新宿区西新宿１西口地下街1号　小田急エース　北館　東 ",各線・地下鉄新宿駅西口徒歩2分(新宿駅西口地下街小田急エース内）
"花ぜん 新宿本店","月～金、祝前日: 11:30～14:00 （料理L.O. 13:30 ドリンクL.O. 13:30）17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 22:30）土、祝日: 16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）",東京都新宿区西新宿７－１０－２０　地下１階,"JR新宿駅西口徒歩3分／西武新宿線新宿駅徒歩2分／都営大江戸線新宿西口駅 D4番出口 徒歩1分 "
"りんず 新宿西口ハルク店","月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）","東京都新宿区西新宿１-5-1 小田急ハルク 食堂酒場ハル★チカMB3F",JR新宿駅　西口　徒歩2分／地下鉄新宿駅　B16～18番出口直結
"魚盛 西新宿 新宿アイランドタワー店","月～木: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～22:30 （料理L.O. 21:30 ドリンクL.O. 22:00）金、祝前日: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）",東京都新宿区西新宿6-4-1新宿アイランドアトリウム2F,"地下鉄丸の内線 西新宿駅から徒歩1分！《魚盛 新宿アイランドタワー店》新鮮な魚介と日本酒が人気！飲み放コースあり！"
"E PRONTO エプロント 文化学園店","月～金、祝前日: 08:00～19:00 （料理L.O. 18:00 ドリンクL.O. 18:30）土: 10:00～19:00 （料理L.O. 18:00 ドリンクL.O. 18:30）",東京都渋谷区代々木３-14-3,"JR線 新宿駅 南口より徒歩10分☆小田急線 南新宿駅より徒歩8分☆"
"もつ焼きモッツマン 東新宿店","月～土、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）",東京都新宿区新宿７-27-24コンフォート東新宿2F,東新宿駅エレベーター口より徒歩約1分/ＪＲ新大久保駅出口より徒歩約13分
"ビストロ サヴァサヴァ","火～日、祝日、祝前日: 11:30～15:00 （料理L.O. 14:00）17:00～翌0:00 （料理L.O. 23:00）",東京都新宿区新宿３-20-6　ＦＳビル4階,"ＪＲ 新宿駅 東口 徒歩3分／地下鉄 新宿駅 徒歩3分／地下鉄 新宿三丁目駅 徒歩1分"
匠心酒場,"月～土、祝日、祝前日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:45）",東京都新宿区西新宿１-15-13-B1F,東京メトロ丸ノ内線，京王，小田急小田原線，都営，JR新宿駅京王新線口より徒歩1分/地上出口７より徒歩約3分
"SUIGETSU すいげつ 新宿駅前店","月～日、祝日、祝前日: 14:00～翌3:00 （料理L.O. 翌2:00 ドリンクL.O. 翌2:30）","東京都新宿区歌舞伎町１-17-5 4F","新宿駅3分 焼き鳥や肉寿司など全120種類3時間食べ飲み放題"
"バグース BAGUS 西武新宿店","月～金、祝前日: 15:00～翌5:00土、日、祝日: 12:00～翌5:00","東京都新宿区歌舞伎町１-２５-３ 西武新宿駅前ビル５Ｆ","西武新宿線 西武新宿駅 正面口(歌舞伎町方面)徒歩1分/都営地下鉄 大江戸線 新宿西口駅(D3出口)徒歩4分"
"KEY BAR SEA きばらし 新宿店","月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）",東京都新宿区歌舞伎町１-６-１４　第２ショーリビル４Ｆ,新宿駅東口4分/新宿3丁目駅3分個室居酒屋♪各種宴会予約受付中♪
"Garden 新宿駅前店","月: 11:30～15:30 （料理L.O. 15:00）16:30～23:00 （料理L.O. 22:00 ドリンクL.O. 21:30）火～木、土、日、祝日、祝前日: 11:30～15:30 （料理L.O. 15:00）16:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）金: 11:30～15:30 （料理L.O. 15:00）16:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:40）","東京都新宿区新宿３‐27‐5 ケースリービル  7F","JR線 新宿駅 中央東口駅目の前！徒歩0分/東京メトロ丸の内線 新宿駅A8 徒歩0分/京王線・小田急線 新宿駅徒歩0分"
"カラオケ 747 新宿コマ通り店","月～日、祝日、祝前日: 18:00～翌5:00 （料理L.O. 翌1:00 ドリンクL.O. 翌4:00）",東京都新宿区歌舞伎町１‐１６‐６第６ポールスタービルＢ１Ｆ,JR新宿駅東口徒歩3分☆
